TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
341,32;0,011446965;-0,019893302;0,046634918;0,051976841;-0,000187113;-0,000341602;-0,000282787;-73,59225433;322,5385201;63,94938783;3134,770796;0,203555104;11,66284833;0,82127926;47,05583539;-0,409057562;-0,910833845;-0,055259553
341,34;0,02237432;-0,026250399;0,050022354;0,06076125;-0,00017048;-0,000347546;-0,000277187;-73,59161946;322,5376946;63,95040865;3134,769776;0,203555103;11,66284832;0,82127926;47,0558354;-0,409136384;-0,910731865;-0,05634616
341,36;0,029849509;-0,029975653;0,053972415;0,068575174;-0,000153025;-0,000391082;-0,00027227;-73,59094881;322,5368427;63,95144564;3134,768739;0,203555103;11,66284831;0,82127926;47,0558354;-0,409103763;-0,910682774;-0,057367203
341,38;0,017145679;-0,045141623;0,055665828;0,073691416;-0,000112295;-0,000452947;-0,000266852;-73,59144767;322,5351002;63,95251087;3134,767674;0,203555103;11,66284828;0,82127926;47,0558354;-0,409283715;-0,910662466;-0,056397819
341,4;0,007751767;-0,056200325;0,055902443;0,079647031;-7,92232E-05;-0,000508814;-0,000264665;-73,59199713;322,5332958;63,95361752;3134,766567;0,203555102;11,66284826;0,82127926;47,0558354;-0,409395135;-0,910612114;-0,056402141
341,42;0,001424465;-0,065359933;0,056439938;0,086367914;-5,34074E-05;-0,000556488;-0,000258638;-73,5925841;322,5314753;63,9547471;3134,765438;0,203555102;11,66284824;0,82127926;47,05583539;-0,40944575;-0,910560969;-0,0568586
341,44;-0,002907789;-0,073282329;0,054614803;0,091441411;-4,84549E-05;-0,000567117;-0,000246235;-73,59319274;322,529644;63,95567472;3134,76451;0,203555101;11,66284821;0,82127926;47,05583538;-0,409463397;-0,910516005;-0,057448503
341,46;-0,003896434;-0,076242172;0,053034072;0,09295517;-6,97317E-05;-0,000590795;-0,000232891;-73,59383056;322,5279622;63,95661061;3134,763574;0,203555101;11,66284819;0,82127926;47,05583538;-0,409376713;-0,910511416;-0,058134918
341,48;-0,005846826;-0,078120906;0,050532554;0,093223389;-7,93235E-05;-0,000619518;-0,000219556;-73,59445763;322,5262699;63,95756461;3134,76262;0,203555101;11,66284817;0,82127926;47,05583537;-0,409287642;-0,910503253;-0,058885073
341,5;-0,008154826;-0,07951733;0,048365025;0,093427419;-8,4045E-05;-0,000650071;-0,00020686;-73,5950802;322,524573;63,95852357;3134,761661;0,2035551;11,66284815;0,821279259;47,05583537;-0,409182317;-0,910495614;-0,05972913
341,52;-0,009764841;-0,081182231;0,047720401;0,094673879;-3,76538E-05;-0,000695876;-0,000195408;-73,59570886;322,5228793;63,95947483;3134,76071;0,2035551;11,66284812;0,821279259;47,05583536;-0,409043009;-0,910507017;-0,06050446
341,54;0,008125882;-0,074506911;0,050933818;0,090617678;-1,36814E-05;-0,000705328;-0,000198162;-73,59513793;322,5217029;63,9606036;3134,759582;0,2035551;11,66284811;0,821279259;47,05583537;-0,40886152;-0,910428622;-0,062864779
341,56;0,021638227;-0,068338698;0,052855146;0,089062096;1,10469E-05;-0,000718355;-0,000199456;-73,59451835;322,5205304;63,96173123;3134,758454;0,203555099;11,66284809;0,82127926;47,05583537;-0,408715758;-0,910372429;-0,064602392
341,58;0,032027716;-0,064065482;0,054015849;0,089709935;3,17329E-05;-0,000738255;-0,000191177;-73,59386612;322,519377;63,96289993;3134,757285;0,203555099;11,66284808;0,82127926;47,05583538;-0,40860297;-0,910339666;-0,065767051
341,6;0,040535357;-0,061152256;0,056021971;0,09231021;2,57692E-05;-0,000762644;-0,000190427;-73,59319548;322,5182378;63,96404994;3134,756135;0,203555099;11,66284806;0,82127926;47,05583538;-0,408523148;-0,910317867;-0,066559892
341,62;0,02492262;-0,056047515;0,053626328;0,08147542;8,63593E-05;-0,000724364;-0,000192066;-73,59389277;322,5172798;63,96498433;3134,755201;0,203555099;11,66284805;0,82127926;47,05583538;-0,408069979;-0,910560433;-0,066019623
341,64;0,013931582;-0,051734144;0,051255908;0,074146333;0,000135469;-0,000694506;-0,000190297;-73,59462564;322,5162997;63,96592496;3134,75426;0,203555098;11,66284804;0,82127926;47,05583537;-0,407707659;-0,910753083;-0,065599436
341,66;0,004899478;-0,048130467;0,049817032;0,069442663;0,000180264;-0,000668297;-0,000184727;-73,5953737;322,5153255;63,96686256;3134,753323;0,203555098;11,66284802;0,821279259;47,05583536;-0,407422999;-0,910888024;-0,065494339
341,68;-0,001554182;-0,044835911;0,047128718;0,065067584;0,00020264;-0,000684446;-0,000181068;-73,59614718;322,5143541;63,96756683;3134,752619;0,203555098;11,66284801;0,821279259;47,05583536;-0,407228433;-0,910953658;-0,065790852
341,7;-0,001367382;-0,047791136;0,045394437;0,065928122;0,000232179;-0,000732379;-0,000177662;-73,59659176;322,5130479;63,96825552;3134,75193;0,203555098;11,66284799;0,821279259;47,05583535;-0,407336249;-0,910860819;-0,066405944
341,72;-0,000974848;-0,050178717;0,043225274;0,066236533;0,000262032;-0,000773516;-0,000172333;-73,59704029;322,5117374;63,96893695;3134,751249;0,203555097;11,66284798;0,821279259;47,05583535;-0,407426944;-0,910771884;-0,067066093
341,74;-0,000343175;-0,053029211;0,040855298;0,066943038;0,000292547;-0,000812997;-0,000165633;-73,59749242;322,5104326;63,96960793;3134,750578;0,203555097;11,66284796;0,821279259;47,05583535;-0,40745444;-0,910715745;-0,067658791
341,76;0,001130443;-0,056185367;0,038378696;0,068051434;0,000347192;-0,0007878;-0,0001609;-73,59795372;322,5091319;63,97026646;3134,749919;0,203555097;11,66284794;0,821279259;47,05583534;-0,407395483;-0,910705104;-0,068155221
341,78;0,000162494;-0,058492882;0,036716401;0,06906184;0,000393711;-0,000716102;-0,000151789;-73,59858998;322,507823;63,97090056;3134,749285;0,203555096;11,66284792;0,821279259;47,05583534;-0,407219122;-0,910764769;-0,068411417
341,8;-0,000718805;-0,058749584;0,036388723;0,069109836;0,000432463;-0,000661293;-0,000131764;-73,59922669;322,5064674;63,97150638;3134,748679;0,203555096;11,66284791;0,821279259;47,05583533;-0,407056215;-0,9108326;-0,068477819
341,82;-0,000968358;-0,058363845;0,036624675;0,068910398;0,000467158;-0,000616736;-0,000100031;-73,59986939;322,505106;63,97209047;3134,748095;0,203555096;11,66284789;0,821279259;47,05583532;-0,406988479;-0,910907881;-0,067876431
341,84;0,000574119;-0,058217548;0,03668651;0,06881506;0,000487033;-0,000569477;-6,75292E-05;-73,60053006;322,5037476;63,97265879;3134,747527;0,203555096;11,66284787;0,821279259;47,05583532;-0,406976821;-0,910980008;-0,066972314
341,86;0,002284017;-0,051235907;0,034330684;0,061716536;0,000528281;-0,000472929;-5,03708E-05;-73,60098885;322,5029191;63,97323716;3134,746949;0,203555095;11,66284786;0,821279259;47,05583531;-0,406744557;-0,911037452;-0,067599009
341,88;0,002949308;-0,045983634;0,033398341;0,05690907;0,000574652;-0,000382748;-5,34147E-05;-73,60143695;322,5021083;63,97401889;3134,746167;0,203555095;11,66284785;0,821279258;47,05583531;-0,406695153;-0,911039904;-0,067862701
341,9;0,004284107;-0,041573892;0,033376112;0,053485577;0,00063026;-0,000308001;-6,84295E-05;-73,60189233;322,5013069;63,97500861;3134,745177;0,203555095;11,66284784;0,821279258;47,05583531;-0,406723937;-0,911032621;-0,067787919
341,92;0,010014203;-0,037309415;0,034373021;0,051708619;0,000665411;-0,000281444;-9,35251E-05;-73,60239485;322,5005081;63,97592125;3134,744265;0,203555095;11,66284783;0,821279258;47,0558353;-0,406603285;-0,911059394;-0,068150937
341,94;0,002711225;-0,038802279;0,039339764;0,055322551;0,000723557;-0,000212493;-9,38814E-05;-73,60317049;322,4991697;63,97701945;3134,743167;0,203555094;11,66284781;0,821279258;47,05583529;-0,406529261;-0,911048459;-0,068736199
341,96;-0,003883715;-0,040275185;0,046409916;0,061571536;0,000775291;-0,000174139;-6,62088E-05;-73,60395311;322,497831;63,97809041;3134,742096;0,203555094;11,66284779;0,821279258;47,05583529;-0,406463465;-0,910983992;-0,069968699
341,98;-0,008101526;-0,039411203;0,051347001;0,065233367;0,000818086;-0,000171117;-2,75835E-05;-73,60475981;322,4964691;63,9791757;3134,741011;0,203555094;11,66284778;0,821279258;47,05583528;-0,406436991;-0,910832493;-0,072063458
342;-0,010979111;-0,036186755;0,049326793;0,06215428;0,000900461;-0,00015197;-1,3856E-05;-73,60558056;322,4950839;63,98007226;3134,740114;0,203555094;11,66284776;0,821279258;47,05583527;-0,406382013;-0,910594952;-0,075302668
342,02;-0,005360184;-0,033555187;0,045782171;0,057014816;0,000859956;-0,000176574;-3,3477E-05;-73,60588333;322,4937025;63,98096664;3134,73922;0,203555093;11,66284774;0,821279258;47,05583527;-0,406352419;-0,910216809;-0,079894134
342,04;5,68093E-05;-0,033796158;0,046636774;0,057594898;0,000837125;-0,000179503;-5,39753E-05;-73,60618329;322,4923228;63,98204401;3134,738142;0,203555093;11,66284772;0,821279258;47,05583527;-0,406062939;-0,909838791;-0,085476687
342,06;0,006259615;-0,037114731;0,049980188;0,062567606;0,000803721;-0,000168754;-5,17749E-05;-73,60649174;322,4909748;63,98308656;3134,7371;0,203555093;11,6628477;0,821279258;47,05583527;-0,405567938;-0,909504171;-0,091196553
342,08;0,017247055;-0,043238991;0,055305123;0,072289196;0,000752876;-0,000162901;-4,30407E-05;-73,60684778;322,489656;63,98409911;3134,736087;0,203555092;11,66284769;0,821279258;47,05583526;-0,404941823;-0,909234537;-0,096512574
342,1;0,004336555;-0,051671108;0,066114225;0,084022615;0,000610063;-0,00019014;-3,93776E-05;-73,60815663;322,4879618;63,98504136;3134,735145;0,203555092;11,66284766;0,821279257;47,05583525;-0,404613705;-0,908880282;-0,101115694
342,12;-0,006994792;-0,06070441;0,068455917;0,091761457;0,000484181;-0,000195578;-4,15567E-05;-73,60948511;322,4862757;63,98606083;3134,734126;0,203555091;11,66284764;0,821279257;47,05583524;-0,404762581;-0,908313383;-0,105518018
342,14;-0,007882055;-0,065006064;0,064547288;0,091947091;0,000376114;-0,000196607;-1,69745E-05;-73,61091758;322,4845432;63,98713365;3134,733053;0,203555091;11,66284762;0,821279257;47,05583523;-0,405042586;-0,907659299;-0,109977724
