TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
39,98;-0,822022134;0,467975413;0,25156876;0,978778942;-0,000106886;0,005468303;0,00133672;-5,534925857;1,434102055;0,985009825;3197,743747;0,203481244;11,6586165;0,821289924;47,05644638;-0,574961054;-0,58156442;0,575502052
40;-0,855694869;0,504775666;0,244811543;1,023203241;-0,000134;0,005455209;0,00135045;-5,559112681;1,446888379;0,987670812;3197,741086;0,203481247;11,65861667;0,82128992;47,05644617;-0,578918591;-0,581253617;0,571836951
40,02;-0,884791045;0,533594513;0,242299712;1,061266907;-0,000179035;0,005449943;0,001367283;-5,58334165;1,460300881;0,990254674;3197,738502;0,20348125;11,65861684;0,821289916;47,05644595;-0,581458164;-0,580932459;0,5695822
40,04;-0,908208077;0,55509498;0,243030069;1,091803994;-0,000236164;0,005324422;0,00137027;-5,607626424;1,47422164;0,992786664;3197,73597;0,203481253;11,65861703;0,821289912;47,05644573;-0,583129235;-0,580141479;0,568679312
40,06;-0,915778557;0,550792775;0,243338487;1,096009427;-0,000332066;0,005206968;0,001364109;-5,63169073;1,486933796;0,995304188;3197,733453;0,203481256;11,65861719;0,821289909;47,05644551;-0,582429114;-0,577110557;0,572468106
40,08;-0,9163525;0,54995349;0,245674874;1,096588752;-0,000433306;0,005118194;0,001348788;-5,655826859;1,499950245;0,997822842;3197,730934;0,203481259;11,65861736;0,821289905;47,0564453;-0,581473953;-0,576304533;0,574248315
40,1;-0,920515776;0,549422308;0,251649979;1,101154792;-0,000537284;0,005043188;0,001337908;-5,679927313;1,513128606;1,000551433;3197,728206;0,203481262;11,65861754;0,821289901;47,05644508;-0,580032052;-0,577344373;0,574661895
40,12;-0,926590604;0,547391433;0,256784598;1,106411252;-0,000653136;0,005039197;0,001323776;-5,70400614;1,526399947;1,003527764;3197,725229;0,203481265;11,65861771;0,821289897;47,05644486;-0,578366119;-0,579521247;0,574149594
40,14;-0,884242857;0,571068175;0,251449013;1,082234216;-0,000795785;0,005051982;0,00130722;-5,7250817;1,541537033;1,006264147;3197,722493;0,203481269;11,65861791;0,821289894;47,05644468;-0,582363273;-0,581259923;0,568322022
40,16;-0,848313699;0,589356061;0,23854843;1,060133035;-0,000927023;0,005058882;0,001296821;-5,746122093;1,556025108;1,008852641;3197,719904;0,203481272;11,6586181;0,821289891;47,05644449;-0,586725551;-0,579630429;0,565492435
40,18;-0,820444334;0,603357412;0,229854809;1,044031755;-0,001050422;0,005070991;0,001288297;-5,767100078;1,570309889;1,011661471;3197,717095;0,203481275;11,65861829;0,821289887;47,0564443;-0,590854744;-0,576895532;0,563987781
